task_category,task_name,prompt,prediction,target,is_correct
Reasoning Primitive,var_assign_depth_1_math,"t t = 89. Let u = t. Let p = 5. What is h?
Answer:...","5

In the

A.",14,False
Reasoning Primitive,var_assign_depth_1_math,"t z = b. Let b = 79. Let y = j. What is h?
Answer:...","99

In the

A",79,False
Reasoning Primitive,var_assign_depth_1_math,"t r = g. Let k = 24. Let l = k. What is l?
Answer:...","24

The problem is:",24,False
Reasoning Primitive,var_assign_depth_1_math,"t v = n. Let c = l. Let g = 34. What is d?
Answer:...","34

The problem is:",34,False
Reasoning Primitive,var_assign_depth_1_math,"t q = o. Let j = 29. Let s = j. What is b?
Answer:...","29

The problem is:",29,False
Reasoning Primitive,var_assign_depth_1_math,"t s = t. Let e = 45. Let d = e. What is d?
Answer:...","45

In the

-",45,False
Reasoning Primitive,var_assign_depth_1_math,"t b = l. Let z = 10. Let l = 0. What is b?
Answer:...","10

In the

A",0,False
Reasoning Primitive,var_assign_depth_1_math," z = 32. Let x = 18. Let i = z. What is p?
Answer:...","18

Which of the",18,False
Reasoning Primitive,var_assign_depth_1_math,"et u = d. Let a = c. Let v = c. What is u?
Answer:...","60

The problem is:",60,False
Reasoning Primitive,var_assign_depth_1_math,"w = 42. Let k = 75. Let q = 79. What is r?
Answer:...","79

The problem is to find",79,False
Reasoning Primitive,var_assign_depth_1_math," x = 40. Let f = x. Let q = 52. What is m?
Answer:...","52

Which of the",52,False
Reasoning Primitive,var_assign_depth_1_math,"t l = k. Let n = v. Let v = 16. What is n?
Answer:...","16

In the

-",16,False
Reasoning Primitive,var_assign_depth_1_math," w = l. Let g = 15. Let l = 99. What is b?
Answer:...","99

The problem is:",99,False
Reasoning Primitive,var_assign_depth_1_math,"t x = y. Let j = y. Let h = 75. What is n?
Answer:...","75

The problem is:",75,False
Reasoning Primitive,var_assign_depth_1_math," r = 13. Let k = q. Let q = 14. What is n?
Answer:...","14

In the

-",17,False
Reasoning Primitive,var_assign_depth_1_math," s = 95. Let b = 46. Let t = b. What is d?
Answer:...","46

The problem is to find",95,False
Reasoning Primitive,var_assign_depth_1_math," s = 70. Let x = 32. Let q = s. What is o?
Answer:...","32

In a 10",70,False
Reasoning Primitive,var_assign_depth_1_math," i = 92. Let g = k. Let k = 10. What is c?
Answer:...","10

In the

-",10,False
Reasoning Primitive,var_assign_depth_1_math,"t p = n. Let l = d. Let n = 87. What is v?
Answer:...","87

The problem is to find",87,False
Reasoning Primitive,var_assign_depth_1_math," u = 21. Let e = 54. Let y = f. What is t?
Answer:...","54

The problem is:",54,False
Reasoning Primitive,var_assign_depth_1_math,"et y = i. Let m = s. Let q = s. What is m?
Answer:...","10

In the

-",18,False
Reasoning Primitive,var_assign_depth_1_math,"r = 84. Let h = 24. Let z = 56. What is v?
Answer:...","56

The problem is:",56,False
Reasoning Primitive,var_assign_depth_1_math,"t b = 22. Let y = o. Let u = b. What is h?
Answer:...","22

In the

A",76,False
Reasoning Primitive,var_assign_depth_1_math," j = z. Let f = 51. Let a = 60. What is n?
Answer:...","60

In the

A",31,False
Reasoning Primitive,var_assign_depth_1_math," r = 25. Let x = g. Let a = 66. What is x?
Answer:...","66

The problem is:",1,False
Reasoning Primitive,var_assign_depth_1_math," p = h. Let n = 34. Let z = 34. What is b?
Answer:...","34

Which is the",34,False
Reasoning Primitive,var_assign_depth_1_math,"t k = 27. Let v = 4. Let q = k. What is f?
Answer:...","4

In the

A)",51,False
Reasoning Primitive,var_assign_depth_1_math,"t x = v. Let o = v. Let f = 70. What is o?
Answer:...","70

The problem is to find",73,False
Reasoning Primitive,var_assign_depth_1_math," p = 85. Let n = 14. Let q = n. What is l?
Answer:...","14

In the

-",22,False
Reasoning Primitive,var_assign_depth_1_math,"et v = 5. Let y = w. Let n = o. What is n?
Answer:...","10

In the

A",13,False
Reasoning Primitive,var_assign_depth_1_math,"t y = x. Let l = n. Let e = 38. What is y?
Answer:...","38

The problem is to find",38,False
Reasoning Primitive,var_assign_depth_1_math,"t o = j. Let e = j. Let j = 92. What is e?
Answer:...","92

Which of the",92,False
Reasoning Primitive,var_assign_depth_1_math,"t u = 60. Let j = g. Let o = u. What is w?
Answer:...","60

The problem is to find",95,False
Reasoning Primitive,var_assign_depth_1_math,"et g = h. Let r = n. Let k = n. What is r?
Answer:...","13

In the

:",9,False
Reasoning Primitive,var_assign_depth_1_math,"t a = 82. Let x = r. Let t = r. What is n?
Answer:...","82

In the

A",54,False
Reasoning Primitive,var_assign_depth_1_math,"t s = x. Let l = x. Let t = 13. What is l?
Answer:...","13

In the

:",61,False
Reasoning Primitive,var_assign_depth_1_math," h = q. Let q = 38. Let p = 97. What is s?
Answer:...","97

Which is the",97,False
Reasoning Primitive,var_assign_depth_1_math,"t y = 62. Let v = y. Let w = y. What is s?
Answer:...","62

Which is the",67,False
Reasoning Primitive,var_assign_depth_1_math,"o = 55. Let d = 53. Let z = 44. What is t?
Answer:...","53

The problem is:",44,False
Reasoning Primitive,var_assign_depth_1_math,"et d = z. Let g = w. Let o = w. What is o?
Answer:...","13

In the

:",79,False
Reasoning Primitive,var_assign_depth_1_math," p = 72. Let k = t. Let t = 43. What is k?
Answer:...","43

The problem is to find",43,False
Reasoning Primitive,var_assign_depth_1_equation," := y. c := y. h := b. d := y. y := 89. d?
Answer:...","89.

But the",89,False
Reasoning Primitive,var_assign_depth_1_equation,"= 47. b := h. p := 91. e := p. h := 82. w?
Answer:...","45.

But the",47,False
Reasoning Primitive,var_assign_depth_1_equation,":= 3. g := b. f := y. l := 52. y := 66. e?
Answer:...","79.

But the",52,False
Reasoning Primitive,var_assign_depth_1_equation,":= 70. o := r. k := 65. h := r. b := w. o?
Answer:...","78.

But the",70,False
Reasoning Primitive,var_assign_depth_1_equation," := i. g := 15. v := i. y := i. m := k. y?
Answer:...","44.

So, the",88,False
Reasoning Primitive,var_assign_depth_1_equation,":= c. k := 78. f := k. c := 25. u := c. f?
Answer:...","6

.

The problem is",78,False
Reasoning Primitive,var_assign_depth_1_equation,":= l. l := 61. w := f. e := a. a := 86. w?
Answer:...","9

.

The above code",16,False
Reasoning Primitive,var_assign_depth_1_equation,":= n. s := n. r := 32. q := r. w := 40. q?
Answer:...","71.

But the",32,False
Reasoning Primitive,var_assign_depth_1_equation,":= t. n := l. t := 58. l := 29. i := l. y?
Answer:...","10

.

.",58,False
Reasoning Primitive,var_assign_depth_1_equation,":= b. n := b. h := b. b := 10. a := 92. j?
Answer:...","10.

But the",10,False
Reasoning Primitive,var_assign_depth_1_equation,":= 74. b := h. z := w. w := 33. s := h. z?
Answer:...","77.

But the",33,False
Reasoning Primitive,var_assign_depth_1_equation,"= n. f := l. n := 27. d := 26. l := 20. s?
Answer:...","20.

But the",27,False
Reasoning Primitive,var_assign_depth_1_equation,"= 65. v := 72. a := c. b := i. i := 31. b?
Answer:...","41.

But the",31,False
Reasoning Primitive,var_assign_depth_1_equation,":= s. i := 53. a := s. t := s. s := 24. z?
Answer:...","2

.

The 1",24,False
Reasoning Primitive,var_assign_depth_1_equation,"= 89. q := w. x := w. l := 81. g := 67. c?
Answer:...","81.

But the",89,False
Reasoning Primitive,var_assign_depth_1_equation,"= 24. h := 56. t := a. a := 14. z := n. e?
Answer:...","59.

But the",24,False
Reasoning Primitive,var_assign_depth_1_equation,":= 64. u := k. i := q. r := q. k := 87. u?
Answer:...","87.

But the",87,False
Reasoning Primitive,var_assign_depth_1_equation,":= s. t := s. x := 85. s := 45. p := x. a?
Answer:...","45.

But the",45,False
Reasoning Primitive,var_assign_depth_1_equation," := d. h := i. i := 95. p := 4. o := p. a?
Answer:...","45.

But the",2,False
Reasoning Primitive,var_assign_depth_1_equation," := u. k := 22. f := k. e := u. p := 3. j?
Answer:...","3.

But the

```",90,False
Reasoning Primitive,var_assign_depth_1_equation,"= 41. i := v. x := c. l := 89. c := 74. i?
Answer:...","74.

But the",41,False
Reasoning Primitive,var_assign_depth_1_equation,"= c. p := 79. n := 74. c := 48. w := p. w?
Answer:...","48.

So, the",79,False
Reasoning Primitive,var_assign_depth_1_equation,":= s. e := 59. x := 17. u := s. h := s. q?
Answer:...","17.

So, the",84,False
Reasoning Primitive,var_assign_depth_1_equation,":= h. t := r. r := 99. h := 88. l := u. t?
Answer:...","51.

So, the",99,False
Reasoning Primitive,var_assign_depth_1_equation,":= 79. v := u. l := 99. d := l. e := x. d?
Answer:...","10.

The 10",99,False
Reasoning Primitive,var_assign_depth_1_equation," := z. x := r. z := 5. v := r. r := 12. k?
Answer:...","12.

But the",5,False
Reasoning Primitive,var_assign_depth_1_equation,":= 16. l := j. i := w. j := 45. p := j. l?
Answer:...","45.

So, the",45,False
Reasoning Primitive,var_assign_depth_1_equation,":= d. a := 15. d := 93. h := d. s := d. s?
Answer:...","10.

The average of the",93,False
Reasoning Primitive,var_assign_depth_1_equation,":= 85. o := 0. e := o. t := y. y := 44. t?
Answer:...","90.

The average of the",44,False
Reasoning Primitive,var_assign_depth_1_equation," := 9. g := 48. w := p. c := g. v := p. w?
Answer:...","48.

But the",9,False
Reasoning Primitive,var_assign_depth_1_equation,":= d. w := h. d := 59. h := 45. v := h. w?
Answer:...","45.

But the",45,False
Reasoning Primitive,var_assign_depth_1_equation,":= i. k := 19. h := k. z := k. l := 97. z?
Answer:...","16.

But the",19,False
Reasoning Primitive,var_assign_depth_1_equation,":= 67. x := l. e := i. l := 72. m := i. e?
Answer:...","72.

But the",99,False
Reasoning Primitive,var_assign_depth_1_equation,":= 51. i := k. x := q. q := 52. m := j. i?
Answer:...","41.

But the",51,False
Reasoning Primitive,var_assign_depth_1_equation,":= e. t := 87. c := m. z := m. m := 26. j?
Answer:...","26.

But the",26,False
Reasoning Primitive,var_assign_depth_1_equation,":= 93. m := g. g := 59. b := k. p := g. m?
Answer:...","43.

But the",59,False
Reasoning Primitive,var_assign_depth_1_equation,":= 88. l := t. z := t. e := q. q := 48. l?
Answer:...","45.

But the",88,False
Reasoning Primitive,var_assign_depth_1_equation,"= q. s := 63. q := 77. w := s. d := 95. b?
Answer:...","45.

But the",77,False
Reasoning Primitive,var_assign_depth_1_equation,"= 58. l := 27. o := 11. k := d. v := o. e?
Answer:...","11.

The average of the",27,False
Reasoning Primitive,var_assign_depth_1_equation,":= 66. f := n. z := n. n := 78. l := n. z?
Answer:...","88.

But the",78,False
Reasoning Primitive,var_assign_depth_1_equation,":= m. m := 10. p := 93. x := i. d := a. b?
Answer:...","10.

But the",10,False
Reasoning Primitive,var_assign_depth_1_equation," := b. p := i. s := 98. x := i. n := b. p?
Answer:...","10.

But the",87,False
Reasoning Primitive,var_assign_depth_1_equation,"= 56. h := 33. q := r. s := h. p := 78. s?
Answer:...","78.

But the",33,False
Reasoning Primitive,var_assign_depth_1_equation,":= r. r := 41. u := 31. e := r. n := r. n?
Answer:...","19

.

.",41,False
Reasoning Primitive,var_assign_depth_1_equation,":= 71. n := f. z := s. l := f. u := 26. n?
Answer:...","10.

The average of the",71,False
Reasoning Primitive,var_assign_depth_1_equation," := 82. q := x. r := x. s := n. n := 6. s?
Answer:...","33

.

But the",6,False
Reasoning Primitive,var_assign_depth_1_equation,":= g. q := g. g := 31. a := 15. w := g. w?
Answer:...","15.

So

.",31,False
Reasoning Primitive,var_assign_depth_1_equation,"= 62. t := w. e := x. w := 71. k := 43. t?
Answer:...","71.

But the",71,False
Reasoning Primitive,var_assign_depth_1_equation,":= d. d := 25. b := d. l := j. c := 97. a?
Answer:...","97.

But the",25,False
Reasoning Primitive,var_assign_depth_1_equation," := x. l := p. p := 44. b := p. t := p. b?
Answer:...","44.

But the",44,False
